四季頻道,#genre#
amc电影台,http://192.168.1.249:5050/4gtv-4gtv017/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
达芬奇频道,http://192.168.1.249:5050/4gtv-4gtv018/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
八大精彩台,http://192.168.1.249:5050/4gtv-4gtv034/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
八大综合台,http://192.168.1.249:5050/4gtv-4gtv039/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
中视,http://192.168.1.249:5050/4gtv-4gtv040/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
华视,http://192.168.1.249:5050/4gtv-4gtv041/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
公视,http://192.168.1.249:5050/4gtv-4gtv042/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
客家电视台,http://192.168.1.249:5050/4gtv-4gtv043/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
靖天卡通台,http://192.168.1.249:5050/4gtv-4gtv044/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
靖洋戏剧台,http://192.168.1.249:5050/4gtv-4gtv045/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
靖天综合台,http://192.168.1.249:5050/4gtv-4gtv046/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
靖天日本台,http://192.168.1.249:5050/4gtv-4gtv047/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
采昌影剧台,http://192.168.1.249:5050/4gtv-4gtv049/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
华视新闻,http://192.168.1.249:5050/4gtv-4gtv052/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
GINX Esports TV,http://192.168.1.249:5050/4gtv-4gtv053/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
靖天欢乐台,http://192.168.1.249:5050/4gtv-4gtv054/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
靖天映画,http://192.168.1.249:5050/4gtv-4gtv055/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
靖洋卡通Nice Bingo,http://192.168.1.249:5050/4gtv-4gtv057/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
靖天戏剧台,http://192.168.1.249:5050/4gtv-4gtv058/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
CLASSICA古典乐,http://192.168.1.249:5050/4gtv-4gtv059/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
靖天电影台,http://192.168.1.249:5050/4gtv-4gtv061/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
靖天育乐台,http://192.168.1.249:5050/4gtv-4gtv062/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
靖天国际,http://192.168.1.249:5050/4gtv-4gtv063/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
靖天资讯台,http://192.168.1.249:5050/4gtv-4gtv065/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
TVBS精采台,http://192.168.1.249:5050/4gtv-4gtv067/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
TVBS欢乐台,http://192.168.1.249:5050/4gtv-4gtv068/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
爱尔达娱乐台,http://192.168.1.249:5050/4gtv-4gtv070/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
TVBS新闻台,http://192.168.1.249:5050/4gtv-4gtv072/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
TVBS,http://192.168.1.249:5050/4gtv-4gtv073/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
中视新闻,http://192.168.1.249:5050/4gtv-4gtv074/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
镜电视新闻台,http://192.168.1.249:5050/4gtv-4gtv075/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
亚洲旅游,http://192.168.1.249:5050/4gtv-4gtv076/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
TRACE Sport Stars,http://192.168.1.249:5050/4gtv-4gtv077/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
ARIRANG阿里郎频道,http://192.168.1.249:5050/4gtv-4gtv079/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
TRACE Urban,http://192.168.1.249:5050/4gtv-4gtv082/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
Mezzo Live,http://192.168.1.249:5050/4gtv-4gtv083/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
国会频道1,http://192.168.1.249:5050/4gtv-4gtv084/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
国会频道2,http://192.168.1.249:5050/4gtv-4gtv085/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
智林体育台,http://192.168.1.249:5050/4gtv-4gtv101/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
第1商业台,http://192.168.1.249:5050/4gtv-4gtv104/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
东森新闻台,http://192.168.1.249:5050/4gtv-4gtv152/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
东森财经新闻台,http://192.168.1.249:5050/4gtv-4gtv153/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
寰宇新闻台湾台,http://192.168.1.249:5050/4gtv-4gtv156/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
大爱一台,http://192.168.1.249:5050/4gtv-live007/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
人间卫视,http://192.168.1.249:5050/4gtv-live008/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
fun探索娱乐台,http://192.168.1.249:5050/4gtv-live011/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
滚动力rollor,http://192.168.1.249:5050/4gtv-live012/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
原住民频道,http://192.168.1.249:5050/4gtv-live014/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
DreamWorks 梦工厂动画,http://192.168.1.249:5050/4gtv-live017/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
经典电影台,http://192.168.1.249:5050/4gtv-live021/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
经典卡通台,http://192.168.1.249:5050/4gtv-live022/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
精选动漫台,http://192.168.1.249:5050/4gtv-live024/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
History 历史频道,http://192.168.1.249:5050/4gtv-live026/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
CI 罪案侦查频道,http://192.168.1.249:5050/4gtv-live027/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
Lifetime 娱乐频道,http://192.168.1.249:5050/4gtv-live029/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
LiveABC互动英语频道,http://192.168.1.249:5050/4gtv-live030/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
电影原声台CMusic,http://192.168.1.249:5050/4gtv-live031/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
Nick Jr. 儿童频道,http://192.168.1.249:5050/4gtv-live032/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
东森购物二台,http://192.168.1.249:5050/4gtv-live046/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
东森购物一台,http://192.168.1.249:5050/4gtv-live047/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
东森购物三台,http://192.168.1.249:5050/4gtv-live048/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
东森购物四台,http://192.168.1.249:5050/4gtv-live049/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
新唐人亚太台,http://192.168.1.249:5050/4gtv-live050/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
Bloomberg TV,http://192.168.1.249:5050/4gtv-live059/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
SBN全球财经台,http://192.168.1.249:5050/4gtv-live060/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
Cinema World,http://192.168.1.249:5050/4gtv-live069/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
DW德国之声,http://192.168.1.249:5050/4gtv-live071/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
ROCK Entertainment,http://192.168.1.249:5050/4gtv-live080/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
FashionTV 时尚频道,http://192.168.1.249:5050/4gtv-live085/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
三立新闻台,http://192.168.1.249:5050/4gtv-live089/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
INULTRA,http://192.168.1.249:5050/4gtv-live096/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
尼克儿童频道,http://192.168.1.249:5050/4gtv-live105/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
大爱二台,http://192.168.1.249:5050/4gtv-live106/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
MOMO亲子台,http://192.168.1.249:5050/4gtv-live107/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
Global Trekker,http://192.168.1.249:5050/4gtv-live112/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
爱尔达综合,http://192.168.1.249:5050/4gtv-live120/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
LUXE TV Channel,http://192.168.1.249:5050/4gtv-live121/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
TV5MONDE STYLE  生活时尚,http://192.168.1.249:5050/4gtv-live122/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
MagellanTV频道,http://192.168.1.249:5050/4gtv-live123/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
ROCK Entertainment,http://192.168.1.249:5050/4gtv-live124/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
CNBC Asia 财经台,http://192.168.1.249:5050/4gtv-live130/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
ROCK Entertainment,http://192.168.1.249:5050/4gtv-live138/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
金光布袋戏,http://192.168.1.249:5050/4gtv-live144/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
FRANCE24 英文台,http://192.168.1.249:5050/4gtv-live146/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
半岛国际新闻台,http://192.168.1.249:5050/4gtv-live157/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
NHK 新闻资讯台,http://192.168.1.249:5050/4gtv-live168/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
车迷 TV,http://192.168.1.249:5050/4gtv-live201/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
幸福空間居家台,http://192.168.1.249:5050/4gtv-live206/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
三立综合台,http://192.168.1.249:5050/4gtv-live207/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
Love Nature,http://192.168.1.249:5050/4gtv-live208/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
民视,http://192.168.1.249:5050/4gtv-live215/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
民视台湾台,http://192.168.1.249:5050/4gtv-live401/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
民视第一台,http://192.168.1.249:5050/4gtv-live403/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
寰宇新闻,http://192.168.1.249:5050/4gtv-live408/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
中天新闻台,http://192.168.1.249:5050/4gtv-live409/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
时尚运动X,http://192.168.1.249:5050/4gtv-live411/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
民视新闻台,http://192.168.1.249:5050/4gtv-live413/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
华视新闻,http://192.168.1.249:5050/4gtv-live452/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
中视新闻,http://192.168.1.249:5050/4gtv-live474/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
HITS频道,http://192.168.1.249:5050/4gtv-live620/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
民视旅游台,http://192.168.1.249:5050/litv-ftv07/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
民视影剧台,http://192.168.1.249:5050/litv-ftv09/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
My Cinema Europe  我的欧洲电影,http://192.168.1.249:5050/litv-ftv10/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
民视新闻台,http://192.168.1.249:5050/litv-ftv13/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
影迷数位纪实台,http://192.168.1.249:5050/litv-ftv15/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
好消息,http://192.168.1.249:5050/litv-ftv16/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
好消息2台,http://192.168.1.249:5050/litv-ftv17/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
寰宇新闻,http://192.168.1.249:5050/litv-longturn14/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
龙华动画,http://192.168.1.249:5050/litv-xinchuang01/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
龙华洋片,http://192.168.1.249:5050/litv-xinchuang02/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
龙华电影,http://192.168.1.249:5050/litv-xinchuang03/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
龙华日韩台,http://192.168.1.249:5050/litv-xinchuang11/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
龙华偶像,http://192.168.1.249:5050/litv-xinchuang12/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
龙华戏剧,http://192.168.1.249:5050/litv-xinchuang18/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
SMART知识台,http://192.168.1.249:5050/litv-xinchuang19/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
ELTV生活英语台,http://192.168.1.249:5050/litv-xinchuang20/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
龙华经典,http://192.168.1.249:5050/litv-xinchuang21/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
台湾戏剧台,http://192.168.1.249:5050/litv-xinchuang22/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
